

KMO_TEST:

KMO_METRIC: 0.710592466342076
The KMO test yields a GOOD degree of common variance.

BARTLETT_SPHERICITY_TEST:


	Bartlett's test of sphericity

data:  InputData
X-squared = 57660, df = 11175, p-value < 2.2e-16



FACTOR_ANALYSIS_RESULTS:

Principal Components Analysis
Call: principal(r = InputData, nfactors = NumberOfFactors, residuals = FALSE, 
    rotate = "varimax", method = "regression")
Standardized loadings (pattern matrix) based upon correlation matrix
               RC6   RC2   RC7   RC9   RC1  RC10   RC3   RC4   RC8   RC5    h2   u2 com
game         -0.06  0.02 -0.07 -0.12  0.02 -0.02  0.13  0.09 -0.09  0.53 0.333 0.67 1.4
food         -0.07  0.03  0.57  0.07  0.07  0.00 -0.01 -0.04 -0.03 -0.05 0.350 0.65 1.1
wear         -0.03  0.04 -0.03  0.04  0.11  0.05 -0.07 -0.02  0.27  0.01 0.098 0.90 1.7
material      0.41  0.30  0.00 -0.04 -0.02 -0.03 -0.04  0.02 -0.01 -0.04 0.260 0.74 1.9
professor     0.30  0.52 -0.03 -0.03  0.03 -0.10  0.02  0.06 -0.05  0.03 0.386 0.61 1.8
relax         0.14 -0.13  0.12  0.01  0.02  0.09  0.02 -0.24  0.17  0.36 0.271 0.73 3.5
hungry       -0.06  0.04  0.62 -0.04  0.02  0.09 -0.09  0.01  0.04 -0.05 0.412 0.59 1.2
shop         -0.07 -0.02  0.03  0.06  0.06  0.03  0.00 -0.02  0.04 -0.03 0.017 0.98 5.5
library       0.01 -0.01  0.12  0.00 -0.17  0.44  0.04  0.08  0.14 -0.11 0.279 0.72 2.0
homework      0.20 -0.03  0.07  0.03 -0.17  0.03 -0.01  0.11  0.14  0.12 0.126 0.87 4.7
movie        -0.04 -0.05  0.01  0.16 -0.04  0.01 -0.09 -0.06  0.06  0.17 0.074 0.93 3.5
music         0.02  0.05  0.04  0.07 -0.03  0.04 -0.03  0.03  0.06  0.21 0.061 0.94 1.9
neutral       0.04  0.00 -0.04  0.01 -0.09  0.17 -0.06 -0.13 -0.02 -0.07 0.062 0.94 3.5
grade         0.40  0.07 -0.01 -0.09 -0.06  0.13  0.14  0.00  0.02 -0.11 0.228 0.77 1.9
bed          -0.03 -0.02 -0.07  0.07  0.13 -0.03 -0.07 -0.16  0.36  0.15 0.214 0.79 2.5
hand          0.10  0.03  0.01  0.02  0.09  0.20 -0.01  0.01 -0.11  0.01 0.072 0.93 2.6
roommate     -0.07 -0.02  0.01  0.29  0.06  0.07  0.05 -0.18  0.09  0.04 0.142 0.86 2.4
exam          0.54  0.08 -0.01 -0.04 -0.02 -0.01  0.11 -0.15  0.02 -0.06 0.335 0.67 1.3
assignment    0.04  0.02  0.08 -0.06 -0.17  0.34  0.13  0.11  0.20 -0.09 0.239 0.76 3.4
quiz          0.40  0.02 -0.03  0.00  0.02 -0.11 -0.12  0.04  0.07  0.00 0.195 0.81 1.4
nap           0.01 -0.06 -0.08  0.02  0.02 -0.01 -0.06 -0.05  0.40  0.02 0.179 0.82 1.2
dorm          0.13 -0.06  0.11  0.00  0.16 -0.08  0.09 -0.18  0.03  0.10 0.114 0.89 5.8

                       RC6  RC2  RC7  RC9  RC1 RC10  RC3  RC4  RC8  RC5
SS loadings           2.94 2.62 2.47 2.41 2.40 2.39 2.25 2.25 2.25 2.16
Proportion Var        0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.01 0.01 0.01
Cumulative Var        0.02 0.04 0.05 0.07 0.09 0.10 0.12 0.13 0.15 0.16
Proportion Explained  0.12 0.11 0.10 0.10 0.10 0.10 0.09 0.09 0.09 0.09
Cumulative Proportion 0.12 0.23 0.33 0.43 0.53 0.63 0.72 0.82 0.91 1.00

Mean item complexity =  2.9
Test of the hypothesis that 10 components are sufficient.

The root mean square of the residuals (RMSR) is  0.03 
 with the empirical chi square  72485.66  with prob <  0 

Fit based upon off diagonal values = 0.6
